"P1_S1","P1_S2","P1_S3","P1_S4","P2_S1","P2_S2","P2_S3","P2_S4","P3_S1","P3_S2","P3_S3","P3_S4"
0.267,0.048,0.126,0.514,0.267,0.048,0.126,0.514,0.0046,0.0,0.0187,0.0883
0.28,0.056,0.131,0.514,0.28,0.056,0.131,0.514,0.0,0.0,0.0826,0.1069
0.279,0.057,0.143,0.503,0.279,0.057,0.143,0.503,0.0,0.0,0.1681,0.1186
0.279,0.059,0.16,0.489,0.279,0.059,0.16,0.489,0.0,0.0,0.2666,0.1045
0.285,0.059,0.182,0.47,0.285,0.059,0.182,0.47,0.0,0.0,0.3522,0.0802
0.294,0.062,0.198,0.444,0.294,0.062,0.198,0.444,0.0,0.0,0.3846,0.057
0.302,0.068,0.22,0.42,0.302,0.068,0.22,0.42,0.0,0.0,0.3913,0.0311
0.311,0.074,0.244,0.4,0.311,0.074,0.244,0.4,0.0,0.0017,0.3974,0.0095
0.301,0.072,0.261,0.384,0.301,0.072,0.261,0.384,0.0,0.0387,0.3589,0.0011
0.303,0.073,0.265,0.371,0.303,0.073,0.265,0.371,0.0,0.1217,0.3364,0.0
0.304,0.076,0.264,0.359,0.304,0.076,0.264,0.359,0.0,0.214,0.3103,0.0
0.303,0.084,0.262,0.347,0.303,0.084,0.262,0.347,0.0,0.299,0.3076,0.0
0.306,0.093,0.262,0.329,0.306,0.093,0.262,0.329,0.0,0.3752,0.2606,0.0
0.316,0.106,0.264,0.32,0.316,0.106,0.264,0.32,0.0,0.4081,0.1903,0.0
0.327,0.117,0.259,0.314,0.327,0.117,0.259,0.314,0.0,0.4322,0.1045,0.0
0.333,0.129,0.261,0.302,0.333,0.129,0.261,0.302,0.0,0.4232,0.0424,0.0
0.337,0.142,0.269,0.288,0.337,0.142,0.269,0.288,0.0027,0.3788,0.0092,0.0
0.336,0.15,0.281,0.281,0.336,0.15,0.281,0.281,0.0169,0.3133,0.0007,0.0
0.33,0.149,0.294,0.277,0.33,0.149,0.294,0.277,0.0414,0.2259,0.0,0.0
0.329,0.135,0.317,0.271,0.329,0.135,0.317,0.271,0.063,0.1337,0.0,0.0
0.333,0.115,0.319,0.251,0.333,0.115,0.319,0.251,0.0722,0.0429,0.0,0.0038
0.336,0.103,0.309,0.244,0.336,0.103,0.309,0.244,0.0578,0.0051,0.0,0.0298
0.342,0.095,0.291,0.249,0.342,0.095,0.291,0.249,0.0363,0.0,0.0,0.0804
0.342,0.09,0.27,0.257,0.342,0.09,0.27,0.257,0.0153,0.0,0.0001,0.1297
0.352,0.086,0.257,0.256,0.352,0.086,0.257,0.256,0.003,0.0,0.0079,0.1813
0.371,0.086,0.248,0.243,0.371,0.086,0.248,0.243,0.0,0.0,0.0351,0.196
0.388,0.084,0.246,0.221,0.388,0.084,0.246,0.221,0.0,0.0,0.0801,0.2132
0.401,0.086,0.257,0.199,0.401,0.086,0.257,0.199,0.0,0.0,0.1416,0.2003
0.411,0.088,0.271,0.183,0.411,0.088,0.271,0.183,0.0,0.0,0.2199,0.1638
0.416,0.092,0.294,0.171,0.416,0.092,0.294,0.171,0.0,0.0,0.2804,0.1269
0.418,0.093,0.321,0.158,0.418,0.093,0.321,0.158,0.0,0.0,0.3587,0.0758
0.425,0.095,0.349,0.148,0.425,0.095,0.349,0.148,0.0,0.002,0.5191,0.023
0.432,0.092,0.392,0.136,0.432,0.092,0.392,0.136,0.0,0.0318,0.607,0.0026
0.437,0.097,0.426,0.131,0.437,0.097,0.426,0.131,0.0,0.1021,0.5807,0.0
0.447,0.107,0.454,0.126,0.447,0.107,0.454,0.126,0.0,0.1901,0.556,0.0
0.471,0.127,0.469,0.127,0.471,0.127,0.469,0.127,0.0,0.2916,0.4797,0.0
0.482,0.141,0.468,0.132,0.482,0.141,0.468,0.132,0.0,0.405,0.3856,0.0
0.487,0.149,0.452,0.156,0.487,0.149,0.452,0.156,0.0,0.4788,0.2797,0.0
0.49,0.149,0.405,0.174,0.49,0.149,0.405,0.174,0.0,0.4953,0.1831,0.0
0.502,0.151,0.361,0.186,0.502,0.151,0.361,0.186,0.0,0.4602,0.0775,0.0
0.51,0.153,0.343,0.2,0.51,0.153,0.343,0.2,0.0015,0.3899,0.0156,0.0
0.522,0.145,0.339,0.208,0.522,0.145,0.339,0.208,0.0142,0.3299,0.001,0.0
0.526,0.124,0.349,0.214,0.526,0.124,0.349,0.214,0.0374,0.2311,0.0,0.0
0.513,0.094,0.364,0.221,0.513,0.094,0.364,0.221,0.0662,0.1322,0.0,0.0
0.498,0.074,0.365,0.22,0.498,0.074,0.365,0.22,0.0929,0.0468,0.0,0.003
0.48,0.062,0.361,0.224,0.48,0.062,0.361,0.224,0.0947,0.0065,0.0,0.0242
0.452,0.056,0.35,0.241,0.452,0.056,0.35,0.241,0.0793,0.0,0.0,0.0647
0.409,0.052,0.341,0.273,0.409,0.052,0.341,0.273,0.0444,0.0,0.0,0.0921
0.373,0.049,0.336,0.301,0.373,0.049,0.336,0.301,0.0101,0.0,0.0057,0.144
0.35,0.051,0.339,0.324,0.35,0.051,0.339,0.324,0.0,0.0,0.0285,0.1683
0.335,0.045,0.352,0.343,0.335,0.045,0.352,0.343,0.0,0.0,0.0813,0.186
0.316,0.041,0.376,0.363,0.316,0.041,0.376,0.363,0.0,0.0,0.143,0.2035
