"P1_S1","P1_S2","P1_S3","P1_S4","P2_S1","P2_S2","P2_S3","P2_S4","P3_S1","P3_S2","P3_S3","P3_S4"
0.554,0.287,0.231,0.372,0.554,0.287,0.231,0.372,0.0,0.0,0.1206,0.0945
0.555,0.282,0.252,0.389,0.555,0.282,0.252,0.389,0.0,0.0,0.2336,0.0993
0.562,0.276,0.279,0.392,0.562,0.276,0.279,0.392,0.0,0.0,0.3501,0.0962
0.572,0.27,0.284,0.363,0.572,0.27,0.284,0.363,0.0,0.0,0.4574,0.0839
0.572,0.27,0.275,0.338,0.572,0.27,0.275,0.338,0.0,0.0002,0.5293,0.0422
0.571,0.277,0.266,0.333,0.571,0.277,0.266,0.333,0.0,0.0118,0.576,0.0075
0.606,0.289,0.254,0.342,0.606,0.289,0.254,0.342,0.0,0.0437,0.5374,0.0001
0.576,0.323,0.238,0.336,0.576,0.323,0.238,0.336,0.0,0.1067,0.5304,0.0
0.562,0.371,0.222,0.329,0.562,0.371,0.222,0.329,0.0,0.1774,0.5014,0.0
0.559,0.407,0.2,0.321,0.559,0.407,0.2,0.321,0.0,0.211,0.4372,0.0
0.569,0.428,0.177,0.314,0.569,0.428,0.177,0.314,0.0,0.2583,0.3725,0.0
0.561,0.442,0.148,0.298,0.561,0.442,0.148,0.298,0.0,0.3143,0.2751,0.0
0.546,0.44,0.104,0.284,0.546,0.44,0.104,0.284,0.0,0.3836,0.1382,0.0
0.542,0.422,0.071,0.269,0.542,0.422,0.071,0.269,0.0026,0.3667,0.0527,0.0
0.519,0.405,0.053,0.254,0.519,0.405,0.053,0.254,0.013,0.3358,0.0097,0.0
0.518,0.371,0.044,0.232,0.518,0.371,0.044,0.232,0.0583,0.2638,0.0002,0.0
0.526,0.327,0.041,0.206,0.526,0.327,0.041,0.206,0.1217,0.1546,0.0,0.0
0.531,0.291,0.044,0.186,0.531,0.291,0.044,0.186,0.1669,0.0735,0.0,0.0
0.527,0.267,0.047,0.165,0.527,0.267,0.047,0.165,0.1877,0.0314,0.0,0.0001
0.512,0.251,0.053,0.157,0.512,0.251,0.053,0.157,0.1781,0.0074,0.0,0.0234
0.477,0.241,0.061,0.157,0.477,0.241,0.061,0.157,0.1424,0.0006,0.0,0.0815
0.43,0.227,0.08,0.174,0.43,0.227,0.08,0.174,0.0813,0.0,0.0,0.1683
0.39,0.214,0.102,0.206,0.39,0.214,0.102,0.206,0.0244,0.0,0.0054,0.246
0.365,0.209,0.119,0.24,0.365,0.209,0.119,0.24,0.0,0.0,0.0366,0.2979
0.351,0.197,0.144,0.26,0.351,0.197,0.144,0.26,0.0,0.0,0.0778,0.3095
0.342,0.186,0.189,0.266,0.342,0.186,0.189,0.266,0.0,0.0,0.1135,0.269
0.336,0.174,0.239,0.262,0.336,0.174,0.239,0.262,0.0,0.0,0.1491,0.2065
0.33,0.17,0.286,0.247,0.33,0.17,0.286,0.247,0.0,0.0,0.156,0.1315
0.322,0.169,0.319,0.243,0.322,0.169,0.319,0.243,0.0,0.0004,0.1473,0.0509
0.312,0.158,0.348,0.25,0.312,0.158,0.348,0.25,0.0,0.0129,0.1562,0.0076
0.343,0.149,0.365,0.264,0.343,0.149,0.365,0.264,0.0,0.0493,0.2027,0.0
0.342,0.156,0.37,0.282,0.342,0.156,0.37,0.282,0.0,0.1052,0.1899,0.0
0.346,0.162,0.374,0.301,0.346,0.162,0.374,0.301,0.0,0.1823,0.1739,0.0
0.358,0.171,0.372,0.311,0.358,0.171,0.372,0.311,0.0,0.2527,0.1726,0.0
0.38,0.18,0.388,0.322,0.38,0.18,0.388,0.322,0.0,0.3011,0.1286,0.0
0.377,0.195,0.391,0.325,0.377,0.195,0.391,0.325,0.0,0.3232,0.0864,0.0
0.399,0.22,0.371,0.318,0.399,0.22,0.371,0.318,0.0,0.3474,0.0508,0.0
0.419,0.244,0.349,0.313,0.419,0.244,0.349,0.313,0.0,0.3784,0.0209,0.0
0.416,0.267,0.328,0.32,0.416,0.267,0.328,0.32,0.0069,0.3565,0.004,0.0
0.417,0.295,0.315,0.326,0.417,0.295,0.315,0.326,0.0322,0.3075,0.0002,0.0
0.426,0.302,0.307,0.327,0.426,0.302,0.307,0.327,0.0672,0.258,0.0,0.0
0.443,0.281,0.302,0.331,0.443,0.281,0.302,0.331,0.0963,0.1769,0.0,0.0
0.462,0.244,0.299,0.324,0.462,0.244,0.299,0.324,0.1056,0.0908,0.0,0.0001
0.478,0.214,0.3,0.331,0.478,0.214,0.3,0.331,0.1022,0.0222,0.0,0.0166
0.489,0.194,0.304,0.346,0.489,0.194,0.304,0.346,0.0736,0.0016,0.0,0.0751
0.492,0.173,0.308,0.381,0.492,0.173,0.308,0.381,0.0415,0.0,0.0,0.1481
0.49,0.159,0.31,0.406,0.49,0.159,0.31,0.406,0.0142,0.0,0.0015,0.2043
0.487,0.152,0.31,0.423,0.487,0.152,0.31,0.423,0.0,0.0,0.0186,0.2266
0.478,0.149,0.321,0.421,0.478,0.149,0.321,0.421,0.0,0.0,0.0556,0.2379
0.465,0.152,0.34,0.407,0.465,0.152,0.34,0.407,0.0,0.0,0.106,0.2081
0.451,0.155,0.36,0.386,0.451,0.155,0.36,0.386,0.0,0.0,0.1649,0.1624
0.436,0.16,0.379,0.378,0.436,0.16,0.379,0.378,0.0,0.0,0.237,0.0988
0.419,0.155,0.386,0.369,0.419,0.155,0.386,0.369,0.0,0.0005,0.2883,0.0331
0.408,0.147,0.388,0.36,0.408,0.147,0.388,0.36,0.0,0.0324,0.2859,0.0042
0.421,0.133,0.39,0.331,0.421,0.133,0.39,0.331,0.0,0.1229,0.3121,0.0
0.438,0.135,0.386,0.311,0.438,0.135,0.386,0.311,0.0,0.2496,0.3067,0.0
0.459,0.142,0.381,0.299,0.459,0.142,0.381,0.299,0.0,0.3757,0.25,0.0
0.476,0.161,0.365,0.283,0.476,0.161,0.365,0.283,0.0,0.4658,0.2031,0.0
0.488,0.194,0.344,0.263,0.488,0.194,0.344,0.263,0.0,0.5129,0.1424,0.0
0.502,0.238,0.325,0.25,0.502,0.238,0.325,0.25,0.0,0.5339,0.0894,0.0
0.531,0.272,0.297,0.231,0.531,0.272,0.297,0.231,0.0,0.4719,0.0492,0.0
0.543,0.3,0.277,0.221,0.543,0.3,0.277,0.221,0.0014,0.4062,0.0189,0.0
0.552,0.323,0.261,0.214,0.552,0.323,0.261,0.214,0.0068,0.3271,0.0033,0.0
0.561,0.338,0.252,0.221,0.561,0.338,0.252,0.221,0.0482,0.258,0.0001,0.0
0.576,0.342,0.247,0.226,0.576,0.342,0.247,0.226,0.0875,0.2016,0.0,0.0
0.592,0.329,0.246,0.233,0.592,0.329,0.246,0.233,0.1163,0.1323,0.0,0.0
0.608,0.313,0.244,0.225,0.608,0.313,0.244,0.225,0.1166,0.0584,0.0,0.0002
0.616,0.301,0.244,0.23,0.616,0.301,0.244,0.23,0.0972,0.0131,0.0,0.0099
0.601,0.298,0.245,0.242,0.601,0.298,0.245,0.242,0.0811,0.001,0.0,0.0324
0.556,0.308,0.248,0.269,0.556,0.308,0.248,0.269,0.0491,0.0,0.0,0.0726
0.508,0.324,0.25,0.291,0.508,0.324,0.25,0.291,0.0168,0.0,0.002,0.1169
0.47,0.342,0.256,0.303,0.47,0.342,0.256,0.303,0.0,0.0,0.029,0.1559
0.437,0.368,0.268,0.298,0.437,0.368,0.268,0.298,0.0,0.0,0.0928,0.1758
0.403,0.385,0.281,0.293,0.403,0.385,0.281,0.293,0.0,0.0,0.171,0.1571
0.372,0.398,0.289,0.28,0.372,0.398,0.289,0.28,0.0,0.0,0.2359,0.1328
0.35,0.392,0.291,0.271,0.35,0.392,0.291,0.271,0.0,0.0,0.3005,0.0758
0.336,0.377,0.293,0.267,0.336,0.377,0.293,0.267,0.0,0.0007,0.3425,0.0248
0.327,0.38,0.299,0.265,0.327,0.38,0.299,0.265,0.0,0.0301,0.3984,0.0036
0.328,0.418,0.305,0.236,0.328,0.418,0.305,0.236,0.0,0.1169,0.4229,0.0001
0.33,0.462,0.305,0.216,0.33,0.462,0.305,0.216,0.0,0.2325,0.4693,0.0
0.331,0.491,0.302,0.202,0.331,0.491,0.302,0.202,0.0,0.3577,0.4425,0.0
0.348,0.504,0.29,0.184,0.348,0.504,0.29,0.184,0.0,0.4356,0.3716,0.0
0.354,0.524,0.273,0.164,0.354,0.524,0.273,0.164,0.0,0.4922,0.2822,0.0
0.342,0.539,0.254,0.168,0.342,0.539,0.254,0.168,0.0,0.5566,0.1975,0.0
0.339,0.528,0.218,0.158,0.339,0.528,0.218,0.158,0.0,0.569,0.1249,0.0
0.336,0.507,0.191,0.146,0.336,0.507,0.191,0.146,0.0015,0.5351,0.0495,0.0
0.336,0.496,0.182,0.136,0.336,0.496,0.182,0.136,0.0078,0.506,0.0079,0.0
0.34,0.472,0.185,0.137,0.34,0.472,0.185,0.137,0.0338,0.4232,0.0001,0.0
0.359,0.421,0.192,0.138,0.359,0.421,0.192,0.138,0.0752,0.2959,0.0,0.0
0.388,0.363,0.197,0.136,0.388,0.363,0.197,0.136,0.115,0.1863,0.0,0.0
0.404,0.317,0.201,0.127,0.404,0.317,0.201,0.127,0.1088,0.0853,0.0,0.0
0.405,0.297,0.204,0.132,0.405,0.297,0.204,0.132,0.099,0.0189,0.0,0.0072
0.395,0.305,0.205,0.141,0.395,0.305,0.205,0.141,0.0799,0.0013,0.0,0.0345
0.382,0.324,0.203,0.165,0.382,0.324,0.203,0.165,0.0408,0.0,0.0,0.0838
0.376,0.344,0.204,0.18,0.376,0.344,0.204,0.18,0.013,0.0,0.003,0.1401
0.377,0.356,0.21,0.189,0.377,0.356,0.21,0.189,0.0,0.0,0.0435,0.1708
0.387,0.364,0.225,0.186,0.387,0.364,0.225,0.186,0.0,0.0,0.1151,0.1776
0.406,0.372,0.248,0.187,0.406,0.372,0.248,0.187,0.0,0.0,0.2366,0.1705
0.433,0.38,0.266,0.184,0.433,0.38,0.266,0.184,0.0,0.0,0.3257,0.1508
0.47,0.389,0.281,0.187,0.47,0.389,0.281,0.187,0.0,0.0,0.4259,0.111
0.506,0.382,0.289,0.196,0.506,0.382,0.289,0.196,0.0,0.0003,0.3964,0.043
0.537,0.375,0.292,0.213,0.537,0.375,0.292,0.213,0.0,0.0155,0.3976,0.006
0.551,0.38,0.3,0.22,0.551,0.38,0.3,0.22,0.0,0.0494,0.4346,0.0
0.568,0.396,0.298,0.23,0.568,0.396,0.298,0.23,0.0,0.1128,0.4425,0.0
0.588,0.414,0.291,0.249,0.588,0.414,0.291,0.249,0.0,0.1894,0.448,0.0
0.606,0.427,0.276,0.275,0.606,0.427,0.276,0.275,0.0,0.2727,0.4202,0.0
0.667,0.451,0.253,0.296,0.667,0.451,0.253,0.296,0.0,0.3809,0.3284,0.0
0.76,0.477,0.23,0.312,0.76,0.477,0.23,0.312,0.0,0.4082,0.2081,0.0
0.779,0.488,0.195,0.327,0.779,0.488,0.195,0.327,0.0,0.4656,0.1109,0.0
0.806,0.479,0.169,0.342,0.806,0.479,0.169,0.342,0.0,0.488,0.0438,0.0
0.86,0.466,0.151,0.372,0.86,0.466,0.151,0.372,0.003,0.4659,0.0075,0.0
0.902,0.444,0.147,0.403,0.902,0.444,0.147,0.403,0.0199,0.4279,0.0001,0.0
0.925,0.415,0.144,0.434,0.925,0.415,0.144,0.434,0.0401,0.3396,0.0,0.0
0.959,0.364,0.153,0.464,0.959,0.364,0.153,0.464,0.0623,0.2317,0.0,0.0
0.966,0.319,0.158,0.478,0.966,0.319,0.158,0.478,0.102,0.1049,0.0,0.0001
0.959,0.289,0.159,0.487,0.959,0.289,0.159,0.487,0.1327,0.0229,0.0,0.0119
0.91,0.277,0.162,0.495,0.91,0.277,0.162,0.495,0.1218,0.0017,0.0,0.0437
0.865,0.271,0.164,0.488,0.865,0.271,0.164,0.488,0.0727,0.0,0.0,0.0822
0.819,0.268,0.167,0.451,0.819,0.268,0.167,0.451,0.0221,0.0,0.0018,0.1091
0.779,0.25,0.168,0.402,0.779,0.25,0.168,0.402,0.0003,0.0,0.0311,0.1346
0.765,0.253,0.173,0.348,0.765,0.253,0.173,0.348,0.0,0.0,0.1035,0.1351
0.764,0.266,0.181,0.285,0.764,0.266,0.181,0.285,0.0,0.0,0.2113,0.1188
0.763,0.276,0.181,0.225,0.763,0.276,0.181,0.225,0.0,0.0,0.3203,0.0954
0.768,0.279,0.179,0.183,0.768,0.279,0.179,0.183,0.0,0.0,0.3606,0.0643
0.774,0.281,0.173,0.158,0.774,0.281,0.173,0.158,0.0,0.0007,0.4403,0.0233
0.779,0.29,0.168,0.144,0.779,0.29,0.168,0.144,0.0,0.0341,0.5105,0.0031
0.777,0.313,0.165,0.142,0.777,0.313,0.165,0.142,0.0,0.1286,0.5247,0.0
0.777,0.342,0.164,0.145,0.777,0.342,0.164,0.145,0.0,0.2544,0.5362,0.0
0.77,0.36,0.162,0.15,0.77,0.36,0.162,0.15,0.0,0.3298,0.4855,0.0
0.745,0.352,0.153,0.156,0.745,0.352,0.153,0.156,0.0,0.3809,0.456,0.0
0.71,0.335,0.133,0.158,0.71,0.335,0.133,0.158,0.0,0.4639,0.3879,0.0
0.676,0.32,0.111,0.167,0.676,0.32,0.111,0.167,0.0,0.4944,0.2928,0.0
0.651,0.314,0.086,0.171,0.651,0.314,0.086,0.171,0.0,0.5304,0.164,0.0
0.628,0.298,0.067,0.176,0.628,0.298,0.067,0.176,0.0027,0.5141,0.0592,0.0
0.568,0.283,0.058,0.187,0.568,0.283,0.058,0.187,0.0135,0.4727,0.0091,0.0
0.56,0.271,0.056,0.214,0.56,0.271,0.056,0.214,0.0526,0.3664,0.0001,0.0
0.582,0.243,0.057,0.245,0.582,0.243,0.057,0.245,0.099,0.288,0.0,0.0
0.602,0.221,0.066,0.277,0.602,0.221,0.066,0.277,0.1291,0.1844,0.0,0.0
0.601,0.18,0.07,0.298,0.601,0.18,0.07,0.298,0.1179,0.0954,0.0,0.0
0.583,0.146,0.073,0.318,0.583,0.146,0.073,0.318,0.0919,0.0243,0.0,0.0028
0.556,0.135,0.074,0.34,0.556,0.135,0.074,0.34,0.0683,0.0018,0.0,0.0146
0.523,0.137,0.078,0.358,0.523,0.137,0.078,0.358,0.0486,0.0,0.0,0.0358
0.482,0.143,0.084,0.369,0.482,0.143,0.084,0.369,0.0191,0.0,0.0032,0.064
0.447,0.156,0.088,0.366,0.447,0.156,0.088,0.366,0.0012,0.0,0.0447,0.0882
0.431,0.158,0.088,0.355,0.431,0.158,0.088,0.355,0.0,0.0,0.1394,0.1106
0.427,0.162,0.101,0.348,0.427,0.162,0.101,0.348,0.0,0.0,0.2749,0.1111
0.42,0.16,0.122,0.33,0.42,0.16,0.122,0.33,0.0,0.0,0.4189,0.0832
0.408,0.155,0.152,0.317,0.408,0.155,0.152,0.317,0.0,0.0,0.5232,0.043
0.397,0.156,0.185,0.315,0.397,0.156,0.185,0.315,0.0,0.0013,0.5591,0.0135
0.393,0.163,0.216,0.316,0.393,0.163,0.216,0.316,0.0,0.0297,0.5834,0.0018
0.442,0.172,0.242,0.31,0.442,0.172,0.242,0.31,0.0,0.095,0.5921,0.0
0.444,0.193,0.259,0.323,0.444,0.193,0.259,0.323,0.0,0.1861,0.5777,0.0
0.457,0.207,0.276,0.342,0.457,0.207,0.276,0.342,0.0,0.2811,0.5714,0.0
0.462,0.211,0.289,0.356,0.462,0.211,0.289,0.356,0.0,0.386,0.4906,0.0
0.459,0.213,0.283,0.367,0.459,0.213,0.283,0.367,0.0,0.432,0.3799,0.0
0.437,0.213,0.27,0.376,0.437,0.213,0.27,0.376,0.0,0.4248,0.2739,0.0
0.428,0.21,0.238,0.375,0.428,0.21,0.238,0.375,0.0,0.4222,0.1492,0.0
0.438,0.202,0.217,0.372,0.438,0.202,0.217,0.372,0.0003,0.3807,0.0487,0.0
0.453,0.192,0.212,0.375,0.453,0.192,0.212,0.375,0.0151,0.3271,0.0066,0.0
0.465,0.187,0.208,0.37,0.465,0.187,0.208,0.37,0.0666,0.2668,0.0001,0.0
0.483,0.178,0.199,0.36,0.483,0.178,0.199,0.36,0.1132,0.2037,0.0,0.0
0.501,0.165,0.196,0.353,0.501,0.165,0.196,0.353,0.1417,0.1393,0.0,0.0
0.522,0.139,0.178,0.345,0.522,0.139,0.178,0.345,0.164,0.0684,0.0,0.0
0.538,0.126,0.155,0.337,0.538,0.126,0.155,0.337,0.156,0.0176,0.0,0.0105
0.541,0.125,0.139,0.329,0.541,0.125,0.139,0.329,0.1177,0.0017,0.0,0.0397
0.527,0.124,0.134,0.31,0.527,0.124,0.134,0.31,0.068,0.0,0.0,0.0803
0.505,0.125,0.137,0.282,0.505,0.125,0.137,0.282,0.0234,0.0,0.0028,0.1358
0.488,0.131,0.143,0.249,0.488,0.131,0.143,0.249,0.0,0.0,0.0375,0.2
0.48,0.13,0.15,0.217,0.48,0.13,0.15,0.217,0.0,0.0,0.1107,0.2475
0.477,0.134,0.176,0.189,0.477,0.134,0.176,0.189,0.0,0.0,0.1962,0.2411
0.48,0.139,0.208,0.159,0.48,0.139,0.208,0.159,0.0003,0.0,0.2734,0.2029
0.49,0.149,0.235,0.135,0.49,0.149,0.235,0.135,0.0,0.0,0.3653,0.122
0.5,0.164,0.261,0.115,0.5,0.164,0.261,0.115,0.0,0.0015,0.4416,0.0384
0.507,0.179,0.294,0.101,0.507,0.179,0.294,0.101,0.0,0.0223,0.4889,0.0046
0.509,0.201,0.314,0.092,0.509,0.201,0.314,0.092,0.0,0.0669,0.451,0.0
0.516,0.244,0.318,0.087,0.516,0.244,0.318,0.087,0.0,0.1048,0.4233,0.0
0.524,0.292,0.316,0.087,0.524,0.292,0.316,0.087,0.0003,0.1521,0.4104,0.0
0.528,0.327,0.299,0.087,0.528,0.327,0.299,0.087,0.0,0.21,0.3662,0.0
0.533,0.355,0.276,0.087,0.533,0.355,0.276,0.087,0.0,0.2468,0.2986,0.0
0.529,0.38,0.246,0.084,0.529,0.38,0.246,0.084,0.0003,0.2723,0.2235,0.0
0.513,0.402,0.207,0.081,0.513,0.402,0.207,0.081,0.0,0.2901,0.1267,0.0
0.5,0.416,0.174,0.078,0.5,0.416,0.174,0.078,0.0001,0.2658,0.0439,0.0
0.497,0.434,0.153,0.077,0.497,0.434,0.153,0.077,0.0083,0.2367,0.0064,0.0
0.516,0.452,0.141,0.084,0.516,0.452,0.141,0.084,0.0272,0.1894,0.0001,0.0
0.557,0.465,0.128,0.092,0.557,0.465,0.128,0.092,0.0623,0.1255,0.0,0.0
0.61,0.475,0.119,0.097,0.61,0.475,0.119,0.097,0.0967,0.0767,0.0,0.0
0.665,0.471,0.106,0.092,0.665,0.471,0.106,0.092,0.1097,0.0386,0.0,0.0001
0.706,0.462,0.097,0.095,0.706,0.462,0.097,0.095,0.11,0.0101,0.0,0.0141
0.724,0.467,0.088,0.101,0.724,0.467,0.088,0.101,0.0895,0.0009,0.0,0.0701
0.706,0.471,0.084,0.114,0.706,0.471,0.084,0.114,0.0561,0.0,0.0,0.1486
0.702,0.476,0.081,0.124,0.702,0.476,0.081,0.124,0.0221,0.0,0.0023,0.2228
0.711,0.467,0.078,0.132,0.711,0.467,0.078,0.132,0.0003,0.0,0.0356,0.2799
0.743,0.47,0.08,0.134,0.743,0.47,0.08,0.134,0.0003,0.0,0.098,0.2849
0.766,0.478,0.097,0.132,0.766,0.478,0.097,0.132,0.0003,0.0,0.1753,0.2592
0.784,0.488,0.118,0.124,0.784,0.488,0.118,0.124,0.0003,0.0,0.2774,0.2016
0.799,0.497,0.148,0.118,0.799,0.497,0.148,0.118,0.0,0.0,0.3967,0.1138
0.815,0.504,0.177,0.114,0.815,0.504,0.177,0.114,0.0,0.0003,0.516,0.0342
0.831,0.524,0.203,0.115,0.831,0.524,0.203,0.115,0.0,0.0071,0.6068,0.0039
0.807,0.55,0.227,0.108,0.807,0.55,0.227,0.108,0.0003,0.0218,0.6216,0.0
0.812,0.572,0.248,0.105,0.812,0.572,0.248,0.105,0.0003,0.0532,0.6418,0.0
0.813,0.582,0.266,0.105,0.813,0.582,0.266,0.105,0.0003,0.0876,0.5843,0.0
0.802,0.566,0.274,0.105,0.802,0.566,0.274,0.105,0.0003,0.1372,0.5249,0.0
0.78,0.547,0.272,0.105,0.78,0.547,0.272,0.105,0.0003,0.2132,0.4071,0.0
0.766,0.53,0.28,0.12,0.766,0.53,0.28,0.12,0.0003,0.2953,0.2441,0.0
0.735,0.505,0.29,0.112,0.735,0.505,0.29,0.112,0.0012,0.3818,0.128,0.0
0.703,0.477,0.317,0.101,0.703,0.477,0.317,0.101,0.0003,0.4032,0.0397,0.0
0.678,0.447,0.357,0.093,0.678,0.447,0.357,0.093,0.0108,0.3831,0.0046,0.0
0.664,0.417,0.387,0.096,0.664,0.417,0.387,0.096,0.0502,0.2839,0.0,0.0
0.667,0.385,0.407,0.096,0.667,0.385,0.407,0.096,0.0996,0.2175,0.0,0.0
0.667,0.354,0.414,0.096,0.667,0.354,0.414,0.096,0.1502,0.1365,0.0,0.0
0.645,0.327,0.416,0.087,0.645,0.327,0.416,0.087,0.1622,0.0622,0.0,0.0001
0.6,0.315,0.419,0.083,0.6,0.315,0.419,0.083,0.146,0.0155,0.0,0.0079
0.538,0.321,0.417,0.085,0.538,0.321,0.417,0.085,0.1227,0.0014,0.0,0.041
0.477,0.328,0.406,0.094,0.477,0.328,0.406,0.094,0.0785,0.0,0.0,0.0888
0.429,0.341,0.397,0.097,0.429,0.341,0.397,0.097,0.0285,0.0,0.0018,0.1319
0.397,0.348,0.389,0.096,0.397,0.348,0.389,0.096,0.0004,0.0,0.0338,0.168
0.372,0.362,0.382,0.095,0.372,0.362,0.382,0.095,0.0003,0.0,0.1027,0.1852
0.355,0.378,0.381,0.095,0.355,0.378,0.381,0.095,0.0003,0.0,0.1985,0.1727
0.339,0.383,0.393,0.094,0.339,0.383,0.393,0.094,0.0012,0.0,0.2973,0.1439
0.322,0.378,0.411,0.096,0.322,0.378,0.411,0.096,0.0003,0.0,0.3533,0.086
0.304,0.361,0.419,0.101,0.304,0.361,0.419,0.101,0.0012,0.0022,0.4104,0.0263
0.286,0.33,0.423,0.104,0.286,0.33,0.423,0.104,0.0,0.0379,0.4734,0.003
0.268,0.322,0.428,0.097,0.268,0.322,0.428,0.097,0.0012,0.1207,0.4845,0.0
0.263,0.326,0.427,0.095,0.263,0.326,0.427,0.095,0.0003,0.251,0.4303,0.0
0.259,0.329,0.426,0.095,0.259,0.329,0.426,0.095,0.0003,0.3492,0.4047,0.0
0.257,0.317,0.415,0.094,0.257,0.317,0.415,0.094,0.0003,0.4472,0.3629,0.0
0.251,0.293,0.384,0.095,0.251,0.293,0.384,0.095,0.0003,0.5226,0.2814,0.0
0.244,0.268,0.352,0.099,0.244,0.268,0.352,0.099,0.0003,0.5743,0.1906,0.0
0.24,0.254,0.327,0.09,0.24,0.254,0.327,0.09,0.0003,0.5414,0.1072,0.0
0.236,0.246,0.32,0.079,0.236,0.246,0.32,0.079,0.0004,0.4411,0.0394,0.0
0.23,0.23,0.324,0.075,0.23,0.23,0.324,0.075,0.0161,0.337,0.006,0.0
0.223,0.212,0.336,0.076,0.223,0.212,0.336,0.076,0.0523,0.2166,0.0001,0.0
0.213,0.191,0.349,0.08,0.213,0.191,0.349,0.08,0.0922,0.1438,0.0,0.0
0.202,0.171,0.355,0.085,0.202,0.171,0.355,0.085,0.1201,0.0835,0.0,0.0
0.194,0.169,0.366,0.086,0.194,0.169,0.366,0.086,0.1365,0.0343,0.0,0.0001
0.186,0.18,0.385,0.087,0.186,0.18,0.385,0.087,0.1259,0.0081,0.0,0.0048
0.175,0.193,0.41,0.086,0.175,0.193,0.41,0.086,0.1019,0.0008,0.0,0.0241
0.165,0.208,0.427,0.086,0.165,0.208,0.427,0.086,0.0689,0.0,0.0,0.0528
0.158,0.225,0.444,0.085,0.158,0.225,0.444,0.085,0.0283,0.0,0.0018,0.0774
0.155,0.235,0.467,0.081,0.155,0.235,0.467,0.081,0.0001,0.0,0.0339,0.092
0.155,0.245,0.507,0.079,0.155,0.245,0.507,0.079,0.0,0.0,0.099,0.096
0.154,0.257,0.542,0.081,0.154,0.257,0.542,0.081,0.0,0.0,0.2023,0.0767
0.153,0.265,0.572,0.08,0.153,0.265,0.572,0.08,0.0,0.0,0.3069,0.0554
0.147,0.273,0.593,0.082,0.147,0.273,0.593,0.082,0.0,0.0,0.377,0.031
0.143,0.286,0.6,0.084,0.143,0.286,0.6,0.084,0.0,0.0007,0.4118,0.0088
0.141,0.318,0.602,0.082,0.141,0.318,0.602,0.082,0.0,0.0111,0.4183,0.0009
0.149,0.386,0.602,0.079,0.149,0.386,0.602,0.079,0.0,0.038,0.3901,0.0
0.162,0.444,0.597,0.077,0.162,0.444,0.597,0.077,0.0,0.1012,0.3972,0.0
0.163,0.506,0.584,0.076,0.163,0.506,0.584,0.076,0.0,0.1606,0.3922,0.0
0.169,0.575,0.554,0.074,0.169,0.575,0.554,0.074,0.0,0.2412,0.3415,0.0
0.182,0.639,0.514,0.071,0.182,0.639,0.514,0.071,0.0,0.31,0.2599,0.0
0.201,0.71,0.476,0.073,0.201,0.71,0.476,0.073,0.0,0.3946,0.165,0.0
0.217,0.738,0.44,0.069,0.217,0.738,0.44,0.069,0.0,0.4545,0.0894,0.0
0.236,0.74,0.409,0.061,0.236,0.74,0.409,0.061,0.0001,0.4323,0.0289,0.0
0.263,0.763,0.384,0.055,0.263,0.763,0.384,0.055,0.0147,0.4086,0.0036,0.0
0.271,0.764,0.368,0.055,0.271,0.764,0.368,0.055,0.0568,0.3401,0.0,0.0
0.277,0.729,0.351,0.056,0.277,0.729,0.351,0.056,0.1151,0.244,0.0,0.0
0.273,0.693,0.323,0.056,0.273,0.693,0.323,0.056,0.1585,0.161,0.0,0.0
0.288,0.634,0.297,0.052,0.288,0.634,0.297,0.052,0.1774,0.0768,0.0,0.0
0.304,0.584,0.271,0.052,0.304,0.584,0.271,0.052,0.1741,0.0168,0.0,0.004
0.309,0.571,0.243,0.052,0.309,0.571,0.243,0.052,0.1422,0.001,0.0,0.0236
0.306,0.554,0.219,0.056,0.306,0.554,0.219,0.056,0.0924,0.0,0.0,0.0436
0.303,0.536,0.209,0.058,0.303,0.536,0.209,0.058,0.0356,0.0,0.0006,0.0788
0.295,0.494,0.211,0.062,0.295,0.494,0.211,0.062,0.0001,0.0,0.0179,0.0932
0.288,0.479,0.224,0.062,0.288,0.479,0.224,0.062,0.0,0.0,0.0662,0.0852
0.287,0.477,0.247,0.062,0.287,0.477,0.247,0.062,0.0,0.0,0.1461,0.0887
0.284,0.468,0.279,0.061,0.284,0.468,0.279,0.061,0.0,0.0,0.2326,0.0732
0.289,0.452,0.311,0.061,0.289,0.452,0.311,0.061,0.0,0.0,0.2926,0.0406
0.27,0.448,0.335,0.064,0.27,0.448,0.335,0.064,0.0,0.0025,0.3624,0.0121
0.26,0.46,0.359,0.07,0.26,0.46,0.359,0.07,0.0,0.0368,0.3711,0.0014
0.258,0.488,0.379,0.074,0.258,0.488,0.379,0.074,0.0,0.1003,0.3506,0.0
0.263,0.522,0.381,0.08,0.263,0.522,0.381,0.08,0.0,0.1945,0.2826,0.0
0.261,0.544,0.376,0.084,0.261,0.544,0.376,0.084,0.0,0.25,0.2312,0.0
0.269,0.533,0.369,0.088,0.269,0.533,0.369,0.088,0.0,0.2671,0.1798,0.0
0.258,0.532,0.358,0.09,0.258,0.532,0.358,0.09,0.0,0.3165,0.1213,0.0
0.242,0.529,0.354,0.1,0.242,0.529,0.354,0.1,0.0,0.3618,0.074,0.0
0.232,0.536,0.333,0.104,0.232,0.536,0.333,0.104,0.0,0.3316,0.043,0.0
