"P_S1","P_S2","P_S3","P_S4"
42688.0,35737.0,21950.0,38108.0
43446.0,31439.0,21967.0,37356.0
47366.0,26972.0,22613.0,36928.0
48977.0,24387.0,26750.0,36813.0
48042.0,24496.0,32284.0,36801.0
45528.0,24173.0,35126.0,37205.0
42325.0,23742.0,36090.0,37791.0
38040.0,23557.0,36128.0,40272.0
33692.0,24933.0,36284.0,42315.0
29557.0,29250.0,36076.0,44070.0
28875.0,34467.0,35242.0,43291.0
28426.0,35999.0,34894.0,40504.0
27673.0,35657.0,34983.0,36806.0
26911.0,34433.0,36363.0,32177.0
26218.0,33490.0,36868.0,27792.0
27521.0,32832.0,36239.0,25074.0
33350.0,32087.0,35159.0,24999.0
40508.0,31892.0,34114.0,24850.0
42019.0,32262.0,33328.0,24351.0
42258.0,34015.0,31200.0,24110.0
42187.0,35463.0,27215.0,25599.0
42621.0,36115.0,24651.0,31419.0
43177.0,36129.0,23530.0,38193.0
43124.0,37450.0,22580.0,39093.0
42911.0,35320.0,22225.0,38207.0
43382.0,31353.0,22055.0,36916.0
46738.0,27064.0,22632.0,36126.0
48199.0,24415.0,26779.0,36164.0
47815.0,24309.0,32329.0,36054.0
46211.0,23949.0,34876.0,36221.0
43370.0,23435.0,35235.0,36859.0
39437.0,23246.0,34714.0,39162.0
35293.0,24670.0,34257.0,41330.0
31090.0,28863.0,33697.0,43706.0
30114.0,34114.0,33024.0,43345.0
29613.0,35495.0,32512.0,40465.0
28845.0,35211.0,32605.0,36766.0
28128.0,34492.0,34050.0,32345.0
27567.0,33965.0,34771.0,27904.0
28756.0,33504.0,34512.0,25235.0
34437.0,33146.0,34049.0,25107.0
41966.0,33017.0,33308.0,25108.0
43625.0,33429.0,32748.0,24682.0
44082.0,35299.0,31081.0,24569.0
43394.0,36590.0,27233.0,25975.0
42875.0,36897.0,24406.0,31813.0
42944.0,36864.0,23228.0,38627.0
43114.0,38213.0,22532.0,39912.0
43469.0,36383.0,22044.0,39856.0
44331.0,32231.0,21835.0,39349.0
47708.0,28050.0,22347.0,38929.0
48719.0,25480.0,26517.0,38769.0
47994.0,25241.0,31708.0,38114.0
45916.0,25173.0,34142.0,37867.0
42866.0,24596.0,34471.0,38320.0
38924.0,24430.0,34031.0,40359.0
34300.0,25678.0,33823.0,42126.0
30273.0,29788.0,33672.0,44341.0
29220.0,35263.0,33211.0,43586.0
28638.0,37042.0,32749.0,40357.0
27730.0,36785.0,32870.0,36721.0
26935.0,35863.0,34143.0,32351.0
26103.0,35358.0,34724.0,28206.0
27371.0,34973.0,34055.0,25481.0
33102.0,34313.0,33301.0,24972.0
40240.0,33934.0,32277.0,24934.0
41906.0,34147.0,31817.0,24278.0
42335.0,35616.0,29839.0,23994.0
42202.0,36774.0,25827.0,25365.0
41924.0,36932.0,23147.0,31000.0
41802.0,36989.0,21968.0,38058.0
41557.0,38102.0,21321.0,39650.0
41442.0,36242.0,20884.0,40081.0
42289.0,32294.0,20835.0,39708.0
45936.0,28050.0,21477.0,39392.0
48373.0,25257.0,25464.0,39065.0
47716.0,25017.0,30659.0,38404.0
45633.0,24754.0,33332.0,37909.0
42762.0,24143.0,33822.0,37736.0
38617.0,23888.0,33424.0,39640.0
34100.0,25247.0,32825.0,41137.0
30223.0,29413.0,31894.0,42583.0
29229.0,34700.0,30791.0,41215.0
28888.0,36445.0,30197.0,38418.0
28250.0,36218.0,29703.0,35147.0
27713.0,35277.0,30330.0,31232.0
27226.0,34791.0,30977.0,27629.0
28668.0,34562.0,30639.0,25082.0
